Bits,Total Wins
0.0,0
1.4426950408889634,0
2.8853900817779268,99
4.328085122666891,0
5.7707801635558535,99
7.213475204444817,0
8.656170245333781,0
10.098865286222745,0
11.541560327111707,0
12.984255368000671,0
14.426950408889635,99
15.869645449778599,99
17.312340490667562,99
18.755035531556526,99
20.19773057244549,0
21.64042561333445,99
23.083120654223414,99
24.525815695112378,99
25.968510736001342,99
27.411205776890306,99
28.85390081777927,99
30.296595858668233,99
31.739290899557197,0
33.18198594044616,0
34.624680981335125,0
36.06737602222409,99
37.51007106311305,99
38.952766104002016,99
40.39546114489098,99
41.83815618577994,99
43.2808512266689,99
44.723546267557865,99
46.16624130844683,99
47.60893634933579,99
49.051631390224756,99
50.49432643111372,99
51.937021472002684,99
53.37971651289165,99
54.82241155378061,99
56.265106594669575,99
57.70780163555854,99
59.1504966764475,99
60.59319171733647,99
62.03588675822543,99
63.478581799114394,99
64.92127684000336,99
66.36397188089232,99
67.80666692178129,99
69.24936196267025,99
70.69205700355921,99
72.13475204444818,99
73.57744708533714,99
75.0201421262261,99
76.46283716711507,99
77.90553220800403,99
79.348227248893,99
80.79092228978196,99
82.23361733067091,99
83.67631237155987,99
85.11900741244884,99
86.5617024533378,99
88.00439749422677,99
89.44709253511573,99
90.8897875760047,99
92.33248261689366,99
93.77517765778262,99
95.21787269867158,99
96.66056773956055,99
98.10326278044951,99
99.54595782133848,99
100.98865286222744,99
102.4313479031164,99
103.87404294400537,99
105.31673798489433,99
106.7594330257833,99
108.20212806667226,99
109.64482310756122,99
111.08751814845019,99
112.53021318933915,99
113.97290823022811,99
115.41560327111708,99
116.85829831200604,99
118.300993352895,99
119.74368839378397,99
121.18638343467293,99
122.6290784755619,99
124.07177351645086,99
125.51446855733982,99
126.95716359822879,99
128.39985863911775,99
129.84255368000672,99
131.28524872089568,99
132.72794376178464,99
134.1706388026736,99
135.61333384356257,99
137.05602888445154,99
138.4987239253405,99
139.94141896622946,99
141.38411400711843,99
142.8268090480074,99
